Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,AFE,838050,948360,1342560,1381860,1406900,1436410,1436770,1457530,1471620,1478910,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,AFW,398170,553740,723970,740720,771100,790820,805370,835230,848650,881570,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,El mundo árabe,ARB,985720,1380740,2174340,2285760,2318020,2395260,2438650,2479110,2518170,2538650,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Estados pequeos del Caribe,CSS,44920,44910,56360,58520,57700,57020,56680,53830,53410,55020,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Europa Central y del Báltico,CEB,1280490,916490,902300,873260,845980,825390,837450,847240,870180,864510,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,inicial del dividendo demográfico,EAR,5111810,6843630,9628480,9918090,10024290,10389760,10487860,10669040,10990740,11238210,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Asia oriental y el Pacífico,EAS,6521270,8747770,15983960,16400380,16796060,16864800,16917810,16961500,17288890,17659720,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Asia oriental y el Pacífico (excluido altos ingresos),EAP,4429070,6203940,13199210,13569140,14042280,14146220,14211920,14272540,14558660,14973700,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Asia oriental y el Pacífico (BIRF y la AIF),TEA,4270180,6114620,13139830,13508020,13991740,14091980,14163800,14219440,14513030,14932190,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Zona del Euro,EMU,3332670,3268620,2947750,2918990,2871140,2745520,2789940,2781400,2776940,2716570,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Europa y Asia central,ECS,10899540,8639930,8826700,8804070,8673230,8405960,8360550,8398580,8450300,8425290,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Europa y Asia central (excluido altos ingresos),ECA,5830400,3836410,4506620,4515530,4464930,4389600,4308420,4362740,4422160,4472930,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Europa y Asia central (BIRF y la AIF),TEC,6301400,4233970,4920270,4920260,4863190,4774060,4697360,4762660,4835630,4885130,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Unión Europea,EUU,4555240,4209000,3849510,3788200,3711450,3565620,3621560,3622340,3635650,3567090,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Frágiles y situaciones de conflicto afectados,FCS,1218750,1485280,1934470,2008160,2048190,2088180,2063350,2100530,2129790,2178820,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Países pobres muy endeudados (PPME),HPC,618150,821260,1142330,1193890,1242730,1287320,1340890,1384290,1400670,1427120,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Ingreso alto,HIC,14160640,15617400,15287650,15138710,15164560,15013220,14971270,14848520,14841780,14899650,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sólo BIRF,IBD,14447470,15598650,25612840,26265630,26829890,27090890,27068200,27222310,27745020,28366540,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,BIRF y la AIF,IBT,16037780,17549070,28208270,28909410,29542690,29874230,29916640,30173010,30772000,31474040,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,mezcla de la AIF,IDB,665550,823070,1041260,1037850,1068870,1089110,1102750,1147290,1180180,1223330,..,..
