Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,,AFE,4988232.4,5058895.14,4765400.98,4734211.36,4703021.74,4671832.12,4640642.5,4607876.1,4575901.2,4544314.78,4511676.2,4479395
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,,AFW,2060349,1953461.84,1862169.28,1854212.96,1846256.64,1838300.32,1830344,1822960.7789,1815608.1,1807898.6,1800220.1,1792580.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,El mundo árabe,ARB,200673.068999237,411781.7,389730.660000763,387305.120000763,384879.580000763,382454.040000763,380038.2,377730.6,375191.7,372634.1,370302.7,367980.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Estados pequeos del Caribe,CSS,369972.4,367737.7,366230.12,365932.84,365635.56,365338.28,365041,364757.9,364515.3,364223.4,363931.1,363639.2
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Europa Central y del Báltico,CEB,353069,358777.6,373931.3,375384.4,376837.5,378290.6,379743.7,380336.502,380939.984,381258,381574.9,381881.8
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,inicial del dividendo demográfico,EAR,8429045.19999924,8072590.1935,7824271.58000076,7793744.38700076,7763217.19400076,7732690.00200076,7702172.5088,7686805,7655531.46,7632988.4,7610957.1,7589317.5
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Asia oriental y el Pacífico,EAS,6399770.269,6358553.1972,6538256.81,6550796.263,6563335.716,6575875.17,6588414.6228,6617999.125,6617836.7,6625321.5,6632992.9,6640831.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Asia oriental y el Pacífico (excluido altos ingresos),EAP,4637221.7,4613428.2626,4809026.164,4814618.175,4820210.186,4825802.198,4831394.2088,4851733.57,4851860.1,4859526.8,4867196.5,4874866.3
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Asia oriental y el Pacífico (BIRF y la AIF),TEA,4568300.7,4549099.8626,4747047.024,4752852.495,4758657.966,4764463.438,4770268.9088,4790821.77,4791161.7,4799041.9,4806925,4814808.2
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Zona del Euro,EMU,918315.91,978203.096,1019686.45,1021882.37,1024078.29,1026274.21,1028470.13,1030071.2,1031881.2,1033420,1034958.4,1036486.8
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Europa y Asia central,ECS,10303035.21,10385048.164,10521971.919,10527722.972,10533474.027,10539225.082,10544976.1366,10551036.454,10557512.0592,10562170.4615,10566819.1,10571460.1
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Europa y Asia central (excluido altos ingresos),ECA,8785942.8,8801264.968,8891039.055,8894155.567,8897272.08,8900388.594,8903505.1066,8907642.552,8911931.1752,8914682.9615,8917436.5,8920192.2
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Europa y Asia central (BIRF y la AIF),TEC,8893262.8,8910704.968,9003715.055,9007017.567,9010320.08,9013622.594,9016925.1066,9021233.754,9025717.2592,9028614.0615,9031512.6,9034413.3
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Unión Europea,EUU,1452989.31,1517983.696,1569420.23,1572707.33,1575994.43,1579281.53,1582568.63,1584695.302,1586843.084,1588671.1,1590497.5,1592313.8
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Frágiles y situaciones de conflicto afectados,FCS,5060338.69999924,5106962.3626,4860441.61500076,4834448.93000076,4808456.24600076,4782463.56300076,4756480.5785,4729614.2309,4703834.948,4678697.0295,4653082.3,4628111.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Países pobres muy endeudados (PPME),HPC,5950078.4,5861855.64,5553223.96,5521304.72,5489385.48,5457466.24,5425547,5391094.3,5357638.9,5324413.28,5290657.1,5257492.2
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Ingreso alto,HIC,9972797.779,10041496.4306,10137634.09,10151695.653,10165757.217,10179818.78,10193880.344,10205900.957,10205869.584,10208665.8,10211631.8,10214756.8
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Sólo BIRF,IBD,25032092.769,24538572.698,24253670.955,24235606.867,24217542.78,24199478.694,24181414.6066,24176884.724,24147934.957,24136296.6615,24123028.5,24110892.6
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,BIRF y la AIF,IBT,32148709.269,31645994.6915,31001079.655,30944155.394,30887231.134,30830306.876,30773382.6154,30730056.4029,30663489.7592,30614171.7415,30562216,30511789.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,mezcla de la AIF,IDB,1356507.2,1368737.9726,1332314.904,1329177.455,1326040.006,1322902.558,1319765.1088,1316722.7789,1314043.36,1311097.8,1307859.6,1304621.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Sólo AIF,IDX,5760109.3,5738684.0209,5415093.796,5379371.072,5343648.348,5307925.624,5272202.9,5236448.9,5201511.4422,5166777.28,5131327.9,5096275.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,total de la AIF,IDA,7116616.5,7107421.9935,6747408.7,6708548.527,6669688.354,6630828.182,6591968.0088,6553171.6789,6515554.8022,6477875.08,6439187.5,6400896.8
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,avanzada del dividendo demográfico,LTE,17775975.069,17601591.958,17535737.695,17544405.847,17553074,17561742.154,17570410.3066,17578118.622,17578621.6152,17587197.8615,17593652.8,17600849.8
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,América Latina y el Caribe,LCN,10699618.5,10154426.4,9572388.48,9543467.36,9514546.24,9485625.12,9456704,9426994.8,9392385.2,9369198.6,9344163.7,9320331.1
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,América Latina y el Caribe (excluido altos ingresos),LAC,10007388.2,9478534.8,8899224.36,8869826.82,8840429.28,8811031.74,8781634.2,8751821.6,8716921.9,8693197.8,8667380.6,8642518.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,América Latina y el Caribe (BIRF y la AIF),TLA,10670140.4,10120126.4,9532008,9502576.6,9473145.2,9443713.8,9414282.4,9383996.8,9349370.8,9326176.9,9301136.5,9277297.5
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Países menos desarrollados: clasificación de las Naciones Unidas,LDC,6045934.6,6055639.2209,5706757.236,5667501.852,5628246.468,5588991.084,5549735.7,5510387.9,5471861.6,5433740.18,5394896.4,5356449.5
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Ingreso mediano y bajo,LMY,31447311.8689992,30959045.2915,30317353.8550008,30260063.9940008,30202774.1340008,30145484.2760008,30088204.1154,30044966.2009,29977717.5752,29927510.8415,29874419.9,29822611.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Países de ingreso bajo,LIC,3305529,3425849.34,3240589.36,3220068.52,3199547.68,3179026.84,3158506,3136866.2,3116042.5,3095631.28,3074493.7,3053753.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Países de ingreso mediano bajo,LMC,7507252.16899924,7213744.5535,6979564.12000076,6948676.66700076,6917789.21400076,6886901.76200076,6856024.0088,6839090.2789,6804116.2022,6776469.3,6748950.8,6721555.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Oriente Medio y Norte de África,MEA,204711.168999237,208527,228452.620000763,228617.840000763,228783.060000763,228948.280000763,229123.2,229110.6,229204.7,229360.3,229740.8,230051.3
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Oriente Medio y Norte de África (excluido altos ingresos),MNA,191100.968999237,194047,213846.260000763,213989.320000763,214132.380000763,214275.440000763,214428.2,214667.1,214761.6,214917.6,215298.9,215609.2
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Oriente Medio y Norte de África (BIRF y la AIF),TMN,191010.169,193956.2,213754.56,213897.62,214040.68,214183.74,214326.8,214565.7,214660.2,214816.2,215197.5,215507.8
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2, Ingreso mediano,MIC,28141782.8689992,27533195.9515,27076764.4950008,27039995.4740008,27003226.4540008,26966457.4360007,26929698.1154,26908100.0009,26861675.0752,26831879.5615,26799926.2,26768858.3
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,América del Norte,NAC,6507239.3,6513389.7,6562769.1,6565106.1,6567443.1,6569780.1,6572117.1,6571720.4,6568350.5,6567980.7,6567610.8,6567241
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,No clasificado,INX,..,..,..,..,..,..,..,..,..,..,..,..
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Miembros OCDE,OED,11487671.61,11507404.096,11573194.09,11585562.35,11597930.61,11610298.87,11622667.13,11631555.2,11629150.3,11630163.6,11631360.5,11632704
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Otros Estados pequeos,OSS,642731.1,622513.34,602668.88,600618.66,598568.44,596518.22,594468,592247.9,590206.8,587984.7,585765.2,583546.3
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Estados pequeos de las Islas del Pacfico,PSS,42291.6,42816.5,43431.04,43486.78,43542.52,43598.26,43654,43709.9,43765.7,43821.6,43877.4,43933.2
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,posterior al dividendo demográfico,PST,9850173.179,9911702.0306,9999287.936,10011769.138,10024250.34,10036731.542,10049212.744,10061358.057,10059915.984,10061410.6,10063077.2,10064890.9
